variant,metric,mean,std,ci95_half_width,paired_delta_vs_base_mean
base,retrieval_mean_r_at_1,0.8561197916666666,0.01566563725978641,0.03891874120221517,
base,retrieval_mean_r_at_5,0.9869791666666666,0.0029834477180702085,0.0074118931585357645,
base,retrieval_mean_r_at_10,0.9967447916666666,0.0011276372445109878,0.0028014322916666665,
base,linear_probe_accuracy,0.7864583333333334,0.03252603124165832,0.08080566217875805,
base,cka_vs_base,1.0,0.0,0.0,
base,mean_cosine_drift,0.0,0.0,0.0,
base,ood_mean_r_at_1,0.7530254289215687,0.01990688643642953,0.04945543858276797,
base,ood_mean_retention_r_at_1,0.8795094107698674,0.00962291599205216,0.023906577874537222,
base,ood_worst_retention_r_at_1,0.4102973280016736,0.04439929172374859,0.11030285685178598,
lora-r8,retrieval_mean_r_at_1,0.84765625,0.013671875,0.03396556144191547,-0.008463541666666666
lora-r8,retrieval_mean_r_at_5,0.9869791666666666,0.0029834477180702085,0.0074118931585357645,0.0
lora-r8,retrieval_mean_r_at_10,0.9967447916666666,0.0022552744890219755,0.005602864583333333,0.0
lora-r8,linear_probe_accuracy,0.7864583333333334,0.03252603124165832,0.08080566217875805,0.0
lora-r8,cka_vs_base,0.9994770114677191,6.353035243492002e-05,0.0001578308819422954,-0.0005229885322809436
lora-r8,mean_cosine_drift,0.0025370560973861475,0.00041773408416083375,0.0010377927461995581,0.0025370560973861475
lora-r8,ood_mean_r_at_1,0.7496553308823529,0.017783427200637636,0.04418004766947389,-0.003370098039215693
lora-r8,ood_mean_retention_r_at_1,0.8843144035623102,0.00665988515259387,0.016545407147631735,0.004804992792442768
lora-r8,ood_worst_retention_r_at_1,0.41133696838623823,0.03635971263380547,0.09032982333980596,0.0010396403845645736
lora-r16,retrieval_mean_r_at_1,0.8470052083333334,0.015907280889154447,0.03951906570345202,-0.009114583333333334
lora-r16,retrieval_mean_r_at_5,0.98828125,0.001953125,0.004852223063130781,0.0013020833333333333
lora-r16,retrieval_mean_r_at_10,0.99609375,0.001953125,0.004852223063130781,-0.0006510416666666666
lora-r16,linear_probe_accuracy,0.7864583333333334,0.03252603124165832,0.08080566217875805,0.0
lora-r16,cka_vs_base,0.9983705245222411,0.00020203229154772446,0.0005019165412070557,-0.0016294754777589349
lora-r16,mean_cosine_drift,0.008515457602293112,0.0004336577103639201,0.0010773524191909382,0.008515457602293112
lora-r16,ood_mean_r_at_1,0.7455575980392156,0.016650025046315863,0.041364293392096754,-0.007467830882352995
lora-r16,ood_mean_retention_r_at_1,0.880194825718456,0.004948814677568444,0.012294529389392754,0.0006854149485885733
lora-r16,ood_worst_retention_r_at_1,0.4162010368734248,0.038524486323557365,0.09570785332962886,0.0059037088717511605
lora-r8-hard-negative,retrieval_mean_r_at_1,0.84765625,0.013671875,0.03396556144191547,-0.008463541666666666
lora-r8-hard-negative,retrieval_mean_r_at_5,0.9869791666666666,0.0029834477180702085,0.0074118931585357645,0.0
lora-r8-hard-negative,retrieval_mean_r_at_10,0.9967447916666666,0.0022552744890219755,0.005602864583333333,0.0
lora-r8-hard-negative,linear_probe_accuracy,0.7864583333333334,0.03252603124165832,0.08080566217875805,0.0
lora-r8-hard-negative,cka_vs_base,0.9995434982921705,3.8737729744179694e-05,9.623762210715441e-05,-0.00045650170782951527
lora-r8-hard-negative,mean_cosine_drift,0.0020399471638070025,0.00021708508341875823,0.000539312767194198,0.0020399471638070025
lora-r8-hard-negative,ood_mean_r_at_1,0.7504978553921569,0.017000700463269153,0.042235489729153405,-0.0025275735294117605
lora-r8-hard-negative,ood_mean_retention_r_at_1,0.8853184493322902,0.005740392551419242,0.014261076546263345,0.005809038562422764
lora-r8-hard-negative,ood_worst_retention_r_at_1,0.4128380528680788,0.03740919890428945,0.09293710218067967,0.002540724866405164
